depth,frame,x,y,weight,height,label
6, 0, 112, 32, 4, 4, 0 
6, 0, 116, 32, 8, 4, 0 
6, 0, 120, 32, 4, 4, 0 
5, 0, 112, 36, 16, 8, 3 
6, 0, 112, 36, 8, 8, 0 
6, 0, 120, 36, 8, 8, 2 
7, 0, 120, 36, 8, 4, 0 
7, 0, 120, 40, 8, 4, 0 
5, 0, 112, 40, 16, 4, 3 
6, 0, 112, 40, 8, 4, 0 
6, 0, 120, 40, 8, 4, 3 
7, 0, 120, 40, 4, 4, 0 
7, 0, 124, 40, 4, 4, 0 
4, 0, 96, 48, 16, 16, 5 
5, 0, 96, 48, 4, 16, 0 
5, 0, 100, 48, 8, 16, 2 
6, 0, 100, 48, 8, 8, 0 
6, 0, 100, 56, 8, 8, 2 
7, 0, 100, 56, 8, 4, 0 
7, 0, 100, 60, 8, 4, 0 
5, 0, 104, 48, 4, 16, 4 
6, 0, 104, 48, 4, 4, 0 
6, 0, 104, 52, 4, 8, 0 
6, 0, 104, 56, 4, 4, 0 
4, 0, 112, 48, 16, 16, 2 
5, 0, 112, 48, 16, 8, 2 
6, 0, 112, 48, 16, 4, 0 
6, 0, 112, 52, 16, 4, 5 
7, 0, 112, 52, 4, 4, 0 
7, 0, 116, 52, 8, 4, 0 
7, 0, 120, 52, 4, 4, 0 
5, 0, 112, 56, 16, 8, 5 
6, 0, 112, 56, 4, 8, 0 
6, 0, 116, 56, 8, 8, 2 
7, 0, 116, 56, 8, 4, 0 
7, 0, 116, 60, 8, 4, 0 
6, 0, 120, 56, 4, 8, 2 
7, 0, 120, 56, 4, 4, 0 
7, 0, 120, 60, 4, 4, 0 
2, 0, 0, 64, 64, 64, 1 
3, 0, 0, 64, 32, 32, 2 
4, 0, 0, 64, 32, 16, 0 
4, 0, 0, 80, 32, 16, 3 
5, 0, 0, 80, 16, 16, 0 
5, 0, 16, 80, 16, 16, 5 
6, 0, 16, 80, 4, 16, 0 
6, 0, 20, 80, 8, 16, 0 
6, 0, 24, 80, 4, 16, 0 
3, 0, 32, 64, 32, 32, 1 
4, 0, 32, 64, 16, 16, 3 
5, 0, 32, 64, 8, 16, 0 
5, 0, 40, 64, 8, 16, 0 
4, 0, 48, 64, 16, 16, 2 
5, 0, 48, 64, 16, 8, 3 
6, 0, 48, 64, 8, 8, 0 
6, 0, 56, 64, 8, 8, 0 
5, 0, 48, 72, 16, 8, 0 
4, 0, 32, 80, 16, 16, 3 
5, 0, 32, 80, 8, 16, 2 
6, 0, 32, 80, 8, 8, 0 
6, 0, 32, 88, 8, 8, 0 
5, 0, 40, 80, 8, 16, 0 
4, 0, 48, 80, 16, 16, 3 
5, 0, 48, 80, 8, 16, 3 
6, 0, 48, 80, 4, 16, 4 
7, 0, 48, 80, 4, 4, 0 
7, 0, 48, 84, 4, 8, 0 
7, 0, 48, 88, 4, 4, 0 
6, 0, 52, 80, 4, 16, 0 
5, 0, 56, 80, 8, 16, 0 
3, 0, 0, 96, 32, 32, 1 
4, 0, 0, 96, 16, 16, 3 
5, 0, 0, 96, 8, 16, 0 
5, 0, 8, 96, 8, 16, 0 
4, 0, 16, 96, 16, 16, 1 
5, 0, 16, 96, 8, 8, 0 
5, 0, 24, 96, 8, 8, 0 
5, 0, 16, 104, 8, 8, 3 
6, 0, 16, 104, 4, 8, 0 
6, 0, 20, 104, 4, 8, 0 
5, 0, 24, 104, 8, 8, 1 
6, 0, 24, 104, 4, 4, 0 
6, 0, 28, 104, 4, 4, 0 
6, 0, 24, 108, 4, 4, 0 
6, 0, 28, 108, 4, 4, 0 
4, 0, 0, 112, 16, 16, 0 
4, 0, 16, 112, 16, 16, 3 
5, 0, 16, 112, 8, 16, 4 
6, 0, 16, 112, 8, 4, 0 
6, 0, 16, 116, 8, 8, 0 
6, 0, 16, 120, 8, 4, 3 
7, 0, 16, 120, 4, 4, 0 
7, 0, 20, 120, 4, 4, 0 
5, 0, 24, 112, 8, 16, 2 
6, 0, 24, 112, 8, 8, 0 
6, 0, 24, 120, 8, 8, 2 
7, 0, 24, 120, 8, 4, 0 
7, 0, 24, 124, 8, 4, 0 
3, 0, 32, 96, 32, 32, 1 
4, 0, 32, 96, 16, 16, 2 
5, 0, 32, 96, 16, 8, 3 
6, 0, 32, 96, 8, 8, 0 
6, 0, 40, 96, 8, 8, 2 
7, 0, 40, 96, 8, 4, 0 
7, 0, 40, 100, 8, 4, 0 
5, 0, 32, 104, 16, 8, 5 
6, 0, 32, 104, 4, 8, 2 
7, 0, 32, 104, 4, 4, 0 
7, 0, 32, 108, 4, 4, 0 
6, 0, 36, 104, 8, 8, 0 
6, 0, 40, 104, 4, 8, 0 
4, 0, 48, 96, 16, 16, 1 
5, 0, 48, 96, 8, 8, 3 
6, 0, 48, 96, 4, 8, 0 
6, 0, 52, 96, 4, 8, 2 
7, 0, 52, 96, 4, 4, 0 
7, 0, 52, 100, 4, 4, 0 
5, 0, 56, 96, 8, 8, 0 
5, 0, 48, 104, 8, 8, 0 
5, 0, 56, 104, 8, 8, 0 
4, 0, 32, 112, 16, 16, 3 
5, 0, 32, 112, 8, 16, 4 
6, 0, 32, 112, 8, 4, 3 
7, 0, 32, 112, 4, 4, 0 
7, 0, 36, 112, 4, 4, 0 
6, 0, 32, 116, 8, 8, 0 
6, 0, 32, 120, 8, 4, 0 
5, 0, 40, 112, 8, 16, 2 
6, 0, 40, 112, 8, 8, 2 
7, 0, 40, 112, 8, 4, 0 
7, 0, 40, 116, 8, 4, 0 
6, 0, 40, 120, 8, 8, 0 
4, 0, 48, 112, 16, 16, 3 
5, 0, 48, 112, 8, 16, 4 
6, 0, 48, 112, 8, 4, 3 
7, 0, 48, 112, 4, 4, 0 
7, 0, 52, 112, 4, 4, 0 
6, 0, 48, 116, 8, 8, 0 
6, 0, 48, 120, 8, 4, 0 
5, 0, 56, 112, 8, 16, 2 
6, 0, 56, 112, 8, 8, 0 
6, 0, 56, 120, 8, 8, 0 
2, 0, 64, 64, 64, 64, 1 
3, 0, 64, 64, 32, 32, 1 
4, 0, 64, 64, 16, 16, 0 
4, 0, 80, 64, 16, 16, 2 
5, 0, 80, 64, 16, 8, 0 
5, 0, 80, 72, 16, 8, 3 
6, 0, 80, 72, 8, 8, 0 
6, 0, 88, 72, 8, 8, 3 
7, 0, 88, 72, 4, 8, 0 
7, 0, 92, 72, 4, 8, 0 
4, 0, 64, 80, 16, 16, 3 
5, 0, 64, 80, 8, 16, 0 
5, 0, 72, 80, 8, 16, 0 
4, 0, 80, 80, 16, 16, 5 
5, 0, 80, 80, 4, 16, 0 
5, 0, 84, 80, 8, 16, 0 
5, 0, 88, 80, 4, 16, 4 
6, 0, 88, 80, 4, 4, 0 
6, 0, 88, 84, 4, 8, 0 
6, 0, 88, 88, 4, 4, 0 
3, 0, 96, 64, 32, 32, 1 
4, 0, 96, 64, 16, 16, 3 
5, 0, 96, 64, 8, 16, 3 
6, 0, 96, 64, 4, 16, 2 
7, 0, 96, 64, 4, 8, 0 
7, 0, 96, 72, 4, 8, 0 
6, 0, 100, 64, 4, 16, 4 
7, 0, 100, 64, 4, 4, 0 
7, 0, 100, 68, 4, 8, 0 
7, 0, 100, 72, 4, 4, 0 
5, 0, 104, 64, 8, 16, 2 
6, 0, 104, 64, 8, 8, 0 
6, 0, 104, 72, 8, 8, 3 
7, 0, 104, 72, 4, 8, 0 
7, 0, 108, 72, 4, 8, 0 
4, 0, 112, 64, 16, 16, 5 
5, 0, 112, 64, 4, 16, 0 
5, 0, 116, 64, 8, 16, 4 
6, 0, 116, 64, 8, 4, 0 
6, 0, 116, 68, 8, 8, 3 
7, 0, 116, 68, 4, 8, 0 
7, 0, 120, 68, 4, 8, 0 
6, 0, 116, 72, 8, 4, 0 
5, 0, 120, 64, 4, 16, 2 
6, 0, 120, 64, 4, 8, 2 
7, 0, 120, 64, 4, 4, 0 
7, 0, 120, 68, 4, 4, 0 
6, 0, 120, 72, 4, 8, 0 
4, 0, 96, 80, 16, 16, 1 
5, 0, 96, 80, 8, 8, 1 
6, 0, 96, 80, 4, 4, 0 
6, 0, 100, 80, 4, 4, 0 
6, 0, 96, 84, 4, 4, 0 
6, 0, 100, 84, 4, 4, 0 
5, 0, 104, 80, 8, 8, 1 
6, 0, 104, 80, 4, 4, 0 
6, 0, 108, 80, 4, 4, 0 
6, 0, 104, 84, 4, 4, 0 
6, 0, 108, 84, 4, 4, 0 
5, 0, 96, 88, 8, 8, 2 
6, 0, 96, 88, 8, 4, 0 
6, 0, 96, 92, 8, 4, 0 
5, 0, 104, 88, 8, 8, 2 
6, 0, 104, 88, 8, 4, 0 
6, 0, 104, 92, 8, 4, 0 
4, 0, 112, 80, 16, 16, 1 
5, 0, 112, 80, 8, 8, 1 
6, 0, 112, 80, 4, 4, 0 
6, 0, 116, 80, 4, 4, 0 
6, 0, 112, 84, 4, 4, 0 
6, 0, 116, 84, 4, 4, 0 
5, 0, 120, 80, 8, 8, 0 
5, 0, 112, 88, 8, 8, 2 
6, 0, 112, 88, 8, 4, 0 
6, 0, 112, 92, 8, 4, 0 
5, 0, 120, 88, 8, 8, 2 
6, 0, 120, 88, 8, 4, 3 
7, 0, 120, 88, 4, 4, 0 
7, 0, 124, 88, 4, 4, 0 
6, 0, 120, 92, 8, 4, 0 
3, 0, 64, 96, 32, 32, 1 
4, 0, 64, 96, 16, 16, 4 
5, 0, 64, 96, 16, 4, 0 
5, 0, 64, 100, 16, 8, 0 
5, 0, 64, 104, 16, 4, 0 
4, 0, 80, 96, 16, 16, 1 
5, 0, 80, 96, 8, 8, 0 
5, 0, 88, 96, 8, 8, 0 
5, 0, 80, 104, 8, 8, 0 
5, 0, 88, 104, 8, 8, 0 
4, 0, 64, 112, 16, 16, 0 
4, 0, 80, 112, 16, 16, 3 
5, 0, 80, 112, 8, 16, 0 
5, 0, 88, 112, 8, 16, 0 
3, 0, 96, 96, 32, 32, 1 
4, 0, 96, 96, 16, 16, 2 
5, 0, 96, 96, 16, 8, 2 
6, 0, 96, 96, 16, 4, 3 
7, 0, 96, 96, 8, 4, 0 
7, 0, 104, 96, 8, 4, 0 
6, 0, 96, 100, 16, 4, 0 
5, 0, 96, 104, 16, 8, 0 
4, 0, 112, 96, 16, 16, 3 
5, 0, 112, 96, 8, 16, 2 
6, 0, 112, 96, 8, 8, 3 
7, 0, 112, 96, 4, 8, 0 
7, 0, 116, 96, 4, 8, 0 
6, 0, 112, 104, 8, 8, 3 
7, 0, 112, 104, 4, 8, 0 
7, 0, 116, 104, 4, 8, 0 
5, 0, 120, 96, 8, 16, 3 
6, 0, 120, 96, 4, 16, 4 
7, 0, 120, 96, 4, 4, 0 
7, 0, 120, 100, 4, 8, 0 
7, 0, 120, 104, 4, 4, 0 
6, 0, 124, 96, 4, 16, 4 
7, 0, 124, 96, 4, 4, 0 
7, 0, 124, 100, 4, 8, 0 
7, 0, 124, 104, 4, 4, 0 
4, 0, 96, 112, 16, 16, 0 
4, 0, 112, 112, 16, 16, 1 
5, 0, 112, 112, 8, 8, 3 
6, 0, 112, 112, 4, 8, 0 
6, 0, 116, 112, 4, 8, 0 
5, 0, 120, 112, 8, 8, 0 
5, 0, 112, 120, 8, 8, 0 
5, 0, 120, 120, 8, 8, 2 
6, 0, 120, 120, 8, 4, 0 
6, 0, 120, 124, 8, 4, 0 
1, 0, 128, 0, 128, 128, 1 
2, 0, 128, 0, 64, 64, 1 
3, 0, 128, 0, 32, 32, 1 
4, 0, 128, 0, 16, 16, 3 
5, 0, 128, 0, 8, 16, 3 
6, 0, 128, 0, 4, 16, 0 
6, 0, 132, 0, 4, 16, 0 
5, 0, 136, 0, 8, 16, 3 
6, 0, 136, 0, 4, 16, 2 
7, 0, 136, 0, 4, 8, 0 
7, 0, 136, 8, 4, 8, 0 
6, 0, 140, 0, 4, 16, 4 
7, 0, 140, 0, 4, 4, 0 
7, 0, 140, 4, 4, 8, 0 
7, 0, 140, 8, 4, 4, 0 
4, 0, 144, 0, 16, 16, 2 
5, 0, 144, 0, 16, 8, 3 
6, 0, 144, 0, 8, 8, 2 
7, 0, 144, 0, 8, 4, 0 
7, 0, 144, 4, 8, 4, 0 
6, 0, 152, 0, 8, 8, 3 
7, 0, 152, 0, 4, 8, 0 
7, 0, 156, 0, 4, 8, 0 
5, 0, 144, 8, 16, 8, 2 
6, 0, 144, 8, 16, 4, 5 
7, 0, 144, 8, 4, 4, 0 
7, 0, 148, 8, 8, 4, 0 
7, 0, 152, 8, 4, 4, 0 
6, 0, 144, 12, 16, 4, 3 
7, 0, 144, 12, 8, 4, 0 
7, 0, 152, 12, 8, 4, 0 
4, 0, 128, 16, 16, 16, 2 
5, 0, 128, 16, 16, 8, 2 
6, 0, 128, 16, 16, 4, 5 
7, 0, 128, 16, 4, 4, 0 
7, 0, 132, 16, 8, 4, 0 
7, 0, 136, 16, 4, 4, 0 
6, 0, 128, 20, 16, 4, 5 
7, 0, 128, 20, 4, 4, 0 
7, 0, 132, 20, 8, 4, 0 
7, 0, 136, 20, 4, 4, 0 
5, 0, 128, 24, 16, 8, 0 
4, 0, 144, 16, 16, 16, 1 
5, 0, 144, 16, 8, 8, 0 
5, 0, 152, 16, 8, 8, 0 
5, 0, 144, 24, 8, 8, 0 
5, 0, 152, 24, 8, 8, 0 
3, 0, 160, 0, 32, 32, 1 
4, 0, 160, 0, 16, 16, 4 
5, 0, 160, 0, 16, 4, 3 
6, 0, 160, 0, 8, 4, 0 
6, 0, 168, 0, 8, 4, 3 
7, 0, 168, 0, 4, 4, 0 
7, 0, 172, 0, 4, 4, 0 
5, 0, 160, 4, 16, 8, 3 
6, 0, 160, 4, 8, 8, 0 
6, 0, 168, 4, 8, 8, 0 
5, 0, 160, 8, 16, 4, 5 
6, 0, 160, 8, 4, 4, 0 
6, 0, 164, 8, 8, 4, 0 
6, 0, 168, 8, 4, 4, 0 
4, 0, 176, 0, 16, 16, 3 
5, 0, 176, 0, 8, 16, 2 
6, 0, 176, 0, 8, 8, 0 
6, 0, 176, 8, 8, 8, 0 
5, 0, 184, 0, 8, 16, 4 
6, 0, 184, 0, 8, 4, 0 
6, 0, 184, 4, 8, 8, 3 
7, 0, 184, 4, 4, 8, 0 
7, 0, 188, 4, 4, 8, 0 
6, 0, 184, 8, 8, 4, 0 
4, 0, 160, 16, 16, 16, 3 
5, 0, 160, 16, 8, 16, 0 
5, 0, 168, 16, 8, 16, 0 
4, 0, 176, 16, 16, 16, 3 
5, 0, 176, 16, 8, 16, 0 
5, 0, 184, 16, 8, 16, 4 
6, 0, 184, 16, 8, 4, 0 
6, 0, 184, 20, 8, 8, 0 
6, 0, 184, 24, 8, 4, 3 
7, 0, 184, 24, 4, 4, 0 
7, 0, 188, 24, 4, 4, 0 
3, 0, 128, 32, 32, 32, 1 
4, 0, 128, 32, 16, 16, 2 
5, 0, 128, 32, 16, 8, 0 
5, 0, 128, 40, 16, 8, 2 
6, 0, 128, 40, 16, 4, 0 
6, 0, 128, 44, 16, 4, 5 
7, 0, 128, 44, 4, 4, 0 
7, 0, 132, 44, 8, 4, 0 
7, 0, 136, 44, 4, 4, 0 
4, 0, 144, 32, 16, 16, 1 
5, 0, 144, 32, 8, 8, 0 
5, 0, 152, 32, 8, 8, 3 
6, 0, 152, 32, 4, 8, 0 
6, 0, 156, 32, 4, 8, 2 
7, 0, 156, 32, 4, 4, 0 
7, 0, 156, 36, 4, 4, 0 
5, 0, 144, 40, 8, 8, 3 
6, 0, 144, 40, 4, 8, 2 
7, 0, 144, 40, 4, 4, 0 
7, 0, 144, 44, 4, 4, 0 
6, 0, 148, 40, 4, 8, 0 
5, 0, 152, 40, 8, 8, 0 
4, 0, 128, 48, 16, 16, 3 
5, 0, 128, 48, 8, 16, 2 
6, 0, 128, 48, 8, 8, 3 
7, 0, 128, 48, 4, 8, 0 
7, 0, 132, 48, 4, 8, 0 
6, 0, 128, 56, 8, 8, 2 
7, 0, 128, 56, 8, 4, 0 
7, 0, 128, 60, 8, 4, 0 
5, 0, 136, 48, 8, 16, 3 
6, 0, 136, 48, 4, 16, 4 
7, 0, 136, 48, 4, 4, 0 
7, 0, 136, 52, 4, 8, 0 
7, 0, 136, 56, 4, 4, 0 
6, 0, 140, 48, 4, 16, 2 
7, 0, 140, 48, 4, 8, 0 
7, 0, 140, 56, 4, 8, 0 
4, 0, 144, 48, 16, 16, 1 
5, 0, 144, 48, 8, 8, 3 
6, 0, 144, 48, 4, 8, 0 
6, 0, 148, 48, 4, 8, 0 
5, 0, 152, 48, 8, 8, 2 
6, 0, 152, 48, 8, 4, 0 
6, 0, 152, 52, 8, 4, 0 
5, 0, 144, 56, 8, 8, 0 
5, 0, 152, 56, 8, 8, 2 
6, 0, 152, 56, 8, 4, 0 
6, 0, 152, 60, 8, 4, 0 
3, 0, 160, 32, 32, 32, 1 
4, 0, 160, 32, 16, 16, 1 
5, 0, 160, 32, 8, 8, 1 
6, 0, 160, 32, 4, 4, 0 
6, 0, 164, 32, 4, 4, 0 
6, 0, 160, 36, 4, 4, 0 
6, 0, 164, 36, 4, 4, 0 
5, 0, 168, 32, 8, 8, 2 
6, 0, 168, 32, 8, 4, 0 
6, 0, 168, 36, 8, 4, 3 
7, 0, 168, 36, 4, 4, 0 
7, 0, 172, 36, 4, 4, 0 
5, 0, 160, 40, 8, 8, 3 
6, 0, 160, 40, 4, 8, 0 
6, 0, 164, 40, 4, 8, 0 
5, 0, 168, 40, 8, 8, 3 
6, 0, 168, 40, 4, 8, 0 
6, 0, 172, 40, 4, 8, 2 
7, 0, 172, 40, 4, 4, 0 
7, 0, 172, 44, 4, 4, 0 
4, 0, 176, 32, 16, 16, 3 
5, 0, 176, 32, 8, 16, 0 
5, 0, 184, 32, 8, 16, 3 
6, 0, 184, 32, 4, 16, 0 
6, 0, 188, 32, 4, 16, 0 
4, 0, 160, 48, 16, 16, 2 
5, 0, 160, 48, 16, 8, 2 
6, 0, 160, 48, 16, 4, 5 
7, 0, 160, 48, 4, 4, 0 
7, 0, 164, 48, 8, 4, 0 
7, 0, 168, 48, 4, 4, 0 
6, 0, 160, 52, 16, 4, 0 
5, 0, 160, 56, 16, 8, 2 
6, 0, 160, 56, 16, 4, 3 
7, 0, 160, 56, 8, 4, 0 
7, 0, 168, 56, 8, 4, 0 
6, 0, 160, 60, 16, 4, 0 
4, 0, 176, 48, 16, 16, 2 
5, 0, 176, 48, 16, 8, 3 
6, 0, 176, 48, 8, 8, 0 
6, 0, 184, 48, 8, 8, 3 
7, 0, 184, 48, 4, 8, 0 
7, 0, 188, 48, 4, 8, 0 
5, 0, 176, 56, 16, 8, 0 
2, 0, 192, 0, 64, 64, 1 
3, 0, 192, 0, 32, 32, 1 
4, 0, 192, 0, 16, 16, 5 
5, 0, 192, 0, 4, 16, 4 
6, 0, 192, 0, 4, 4, 0 
6, 0, 192, 4, 4, 8, 0 
6, 0, 192, 8, 4, 4, 0 
5, 0, 196, 0, 8, 16, 2 
6, 0, 196, 0, 8, 8, 3 
7, 0, 196, 0, 4, 8, 0 
7, 0, 200, 0, 4, 8, 0 
6, 0, 196, 8, 8, 8, 0 
5, 0, 200, 0, 4, 16, 2 
6, 0, 200, 0, 4, 8, 0 
6, 0, 200, 8, 4, 8, 0 
4, 0, 208, 0, 16, 16, 1 
5, 0, 208, 0, 8, 8, 0 
5, 0, 216, 0, 8, 8, 0 
5, 0, 208, 8, 8, 8, 0 
5, 0, 216, 8, 8, 8, 0 
4, 0, 192, 16, 16, 16, 1 
5, 0, 192, 16, 8, 8, 3 
6, 0, 192, 16, 4, 8, 2 
7, 0, 192, 16, 4, 4, 0 
7, 0, 192, 20, 4, 4, 0 
6, 0, 196, 16, 4, 8, 0 
5, 0, 200, 16, 8, 8, 3 
6, 0, 200, 16, 4, 8, 0 
6, 0, 204, 16, 4, 8, 2 
7, 0, 204, 16, 4, 4, 0 
7, 0, 204, 20, 4, 4, 0 
5, 0, 192, 24, 8, 8, 2 
6, 0, 192, 24, 8, 4, 0 
6, 0, 192, 28, 8, 4, 0 
5, 0, 200, 24, 8, 8, 2 
6, 0, 200, 24, 8, 4, 3 
7, 0, 200, 24, 4, 4, 0 
7, 0, 204, 24, 4, 4, 0 
6, 0, 200, 28, 8, 4, 0 
4, 0, 208, 16, 16, 16, 4 
5, 0, 208, 16, 16, 4, 5 
6, 0, 208, 16, 4, 4, 0 
6, 0, 212, 16, 8, 4, 0 
6, 0, 216, 16, 4, 4, 0 
5, 0, 208, 20, 16, 8, 3 
6, 0, 208, 20, 8, 8, 2 
7, 0, 208, 20, 8, 4, 0 
7, 0, 208, 24, 8, 4, 0 
6, 0, 216, 20, 8, 8, 0 
5, 0, 208, 24, 16, 4, 0 
3, 0, 224, 0, 32, 32, 1 
4, 0, 224, 0, 16, 16, 0 
4, 0, 240, 0, 16, 16, 3 
5, 0, 240, 0, 8, 16, 2 
6, 0, 240, 0, 8, 8, 0 
6, 0, 240, 8, 8, 8, 0 
5, 0, 248, 0, 8, 16, 3 
6, 0, 248, 0, 4, 16, 0 
6, 0, 252, 0, 4, 16, 0 
4, 0, 224, 16, 16, 16, 2 
5, 0, 224, 16, 16, 8, 0 
5, 0, 224, 24, 16, 8, 0 
4, 0, 240, 16, 16, 16, 0 
3, 0, 192, 32, 32, 32, 1 
4, 0, 192, 32, 16, 16, 4 
5, 0, 192, 32, 16, 4, 3 
6, 0, 192, 32, 8, 4, 3 
7, 0, 192, 32, 4, 4, 0 
7, 0, 196, 32, 4, 4, 0 
6, 0, 200, 32, 8, 4, 3 
7, 0, 200, 32, 4, 4, 0 
7, 0, 204, 32, 4, 4, 0 
5, 0, 192, 36, 16, 8, 3 
6, 0, 192, 36, 8, 8, 0 
6, 0, 200, 36, 8, 8, 3 
7, 0, 200, 36, 4, 8, 0 
7, 0, 204, 36, 4, 8, 0 
5, 0, 192, 40, 16, 4, 5 
6, 0, 192, 40, 4, 4, 0 
6, 0, 196, 40, 8, 4, 0 
6, 0, 200, 40, 4, 4, 0 
4, 0, 208, 32, 16, 16, 1 
5, 0, 208, 32, 8, 8, 0 
5, 0, 216, 32, 8, 8, 0 
5, 0, 208, 40, 8, 8, 1 
6, 0, 208, 40, 4, 4, 0 
6, 0, 212, 40, 4, 4, 0 
6, 0, 208, 44, 4, 4, 0 
6, 0, 212, 44, 4, 4, 0 
5, 0, 216, 40, 8, 8, 0 
4, 0, 192, 48, 16, 16, 1 
5, 0, 192, 48, 8, 8, 2 
6, 0, 192, 48, 8, 4, 0 
6, 0, 192, 52, 8, 4, 0 
5, 0, 200, 48, 8, 8, 0 
5, 0, 192, 56, 8, 8, 0 
5, 0, 200, 56, 8, 8, 0 
4, 0, 208, 48, 16, 16, 3 
5, 0, 208, 48, 8, 16, 0 
5, 0, 216, 48, 8, 16, 0 
3, 0, 224, 32, 32, 32, 5 
4, 0, 224, 32, 8, 32, 0 
4, 0, 232, 32, 16, 32, 2 
5, 0, 232, 32, 16, 16, 0 
5, 0, 232, 48, 16, 16, 3 
6, 0, 232, 48, 8, 16, 0 
6, 0, 240, 48, 8, 16, 0 
4, 0, 240, 32, 8, 32, 0 
2, 0, 128, 64, 64, 64, 1 
3, 0, 128, 64, 32, 32, 1 
4, 0, 128, 64, 16, 16, 2 
5, 0, 128, 64, 16, 8, 5 
6, 0, 128, 64, 4, 8, 0 
6, 0, 132, 64, 8, 8, 2 
7, 0, 132, 64, 8, 4, 0 
7, 0, 132, 68, 8, 4, 0 
6, 0, 136, 64, 4, 8, 0 
5, 0, 128, 72, 16, 8, 0 
4, 0, 144, 64, 16, 16, 3 
5, 0, 144, 64, 8, 16, 0 
5, 0, 152, 64, 8, 16, 2 
6, 0, 152, 64, 8, 8, 3 
7, 0, 152, 64, 4, 8, 0 
7, 0, 156, 64, 4, 8, 0 
6, 0, 152, 72, 8, 8, 2 
7, 0, 152, 72, 8, 4, 0 
7, 0, 152, 76, 8, 4, 0 
4, 0, 128, 80, 16, 16, 1 
5, 0, 128, 80, 8, 8, 0 
5, 0, 136, 80, 8, 8, 0 
5, 0, 128, 88, 8, 8, 0 
5, 0, 136, 88, 8, 8, 2 
6, 0, 136, 88, 8, 4, 0 
6, 0, 136, 92, 8, 4, 0 
4, 0, 144, 80, 16, 16, 3 
5, 0, 144, 80, 8, 16, 0 
5, 0, 152, 80, 8, 16, 2 
6, 0, 152, 80, 8, 8, 3 
7, 0, 152, 80, 4, 8, 0 
7, 0, 156, 80, 4, 8, 0 
6, 0, 152, 88, 8, 8, 0 
3, 0, 160, 64, 32, 32, 1 
4, 0, 160, 64, 16, 16, 2 
5, 0, 160, 64, 16, 8, 0 
5, 0, 160, 72, 16, 8, 2 
6, 0, 160, 72, 16, 4, 0 
6, 0, 160, 76, 16, 4, 0 
4, 0, 176, 64, 16, 16, 2 
5, 0, 176, 64, 16, 8, 5 
6, 0, 176, 64, 4, 8, 2 
7, 0, 176, 64, 4, 4, 0 
7, 0, 176, 68, 4, 4, 0 
6, 0, 180, 64, 8, 8, 2 
